row no.,tree no.,X,Y
16,51.00,725374.25,4162630.25
17,1.00,725500.75,4162708.75
17,2.00,725495.75,4162705.75
17,3.00,725490.25,4162701.75
17,4.00,725487.75,4162699.25
17,5.00,725486.25,4162697.75
17,6.00,725483.25,4162696.25
17,7.00,725481.25,4162695.25
17,8.00,725478.25,4162693.25
17,9.00,725477.25,4162691.75
17,10.00,725475.25,4162690.75
17,11.00,725473.75,4162689.75
17,12.00,725470.75,4162688.25
17,13.00,725469.25,4162687.25
17,14.00,725467.25,4162686.25
17,15.00,725465.25,4162684.25
17,16.00,725461.25,4162682.25
17,17.00,725459.78,4162681.11
17,18.00,725458.75,4162680.25
17,19.00,725455.75,4162678.25
17,20.00,725454.25,4162676.75
17,21.00,725449.75,4162674.75
17,22.00,725446.75,4162673.25
17,23.00,725444.25,4162670.25
17,24.00,725440.75,4162668.75
17,25.00,725438.25,4162666.75
17,26.00,725434.25,4162664.75
17,27.00,725428.75,4162661.25
17,28.00,725425.75,4162658.75
17,29.00,725422.75,4162655.75
17,30.00,725419.25,4162654.75
17,31.00,725416.75,4162652.75
17,32.00,725413.75,4162650.25
17,33.00,725410.25,4162648.75
17,34.00,725407.25,4162646.75
17,35.00,725404.25,4162644.75
17,36.00,725400.75,4162642.75
17,37.00,725398.75,4162640.75
17,38.00,725395.75,4162639.25
17,39.00,725392.25,4162636.25
17,40.00,725388.75,4162634.75
17,41.00,725386.25,4162632.75
17,42.00,725382.75,4162630.75
17,43.00,725379.75,4162628.25
18,1.00,725504.19,4162707.41
18,2.00,725499.25,4162704.25
18,3.00,725496.75,4162702.25
18,4.00,725489.25,4162696.75
18,5.00,725487.75,4162695.75
18,6.00,725485.62,4162694.67
18,7.00,725482.89,4162692.68
18,8.00,725481.25,4162691.75
18,9.00,725479.75,4162690.75
18,10.00,725477.25,4162688.75
18,11.00,725471.25,4162684.25
18,12.00,725469.36,4162683.55
18,13.00,725466.75,4162681.75
